"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.62, 'feels_like': 274.67, 'temp_min': 275.1, 'temp_max': 277.35, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 10},1677360601,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.62, 'feels_like': 274.67, 'temp_min': 275.1, 'temp_max': 277.35, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 10},1677360601,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.45, 'feels_like': 274.47, 'temp_min': 275.1, 'temp_max': 277.19, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 10},1677361292,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 276.94, 'feels_like': 274.46, 'temp_min': 275.64, 'temp_max': 277.74, 'pressure': 1019, 'humidity': 80}",10000,"{'speed': 2.68, 'deg': 10, 'gust': 3.58}",{'all': 11},1677357447,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 276.82, 'feels_like': 274.41, 'temp_min': 275.64, 'temp_max': 277.47, 'pressure': 1019, 'humidity': 81}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 11},1677358242,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 276.73, 'feels_like': 274.31, 'temp_min': 275.23, 'temp_max': 277.42, 'pressure': 1019, 'humidity': 81}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 11},1677358896,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 276.72, 'feels_like': 274.6, 'temp_min': 275.13, 'temp_max': 277.42, 'pressure': 1020, 'humidity': 81}",10000,"{'speed': 2.24, 'deg': 338, 'gust': 4.02}",{'all': 11},1677359543,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 276.72, 'feels_like': 274.6, 'temp_min': 275.13, 'temp_max': 277.42, 'pressure': 1020, 'humidity': 81}",10000,"{'speed': 2.24, 'deg': 338, 'gust': 4.02}",{'all': 11},1677359543,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 276.63, 'feels_like': 274.68, 'temp_min': 275.1, 'temp_max': 277.35, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 11},1677359992,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.62, 'feels_like': 274.67, 'temp_min': 275.1, 'temp_max': 277.35, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 10},1677360601,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.62, 'feels_like': 274.67, 'temp_min': 275.1, 'temp_max': 277.35, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 10},1677360601,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.45, 'feels_like': 274.47, 'temp_min': 275.1, 'temp_max': 277.19, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 10},1677361292,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.35, 'feels_like': 274.36, 'temp_min': 275.1, 'temp_max': 277.09, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 10},1677362041,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.35, 'feels_like': 274.36, 'temp_min': 275.1, 'temp_max': 277.09, 'pressure': 1020, 'humidity': 82}",10000,"{'speed': 2.06, 'deg': 0}",{'all': 10},1677362041,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.21, 'feels_like': 273.69, 'temp_min': 274.84, 'temp_max': 277.01, 'pressure': 1020, 'humidity': 83}",10000,"{'speed': 2.57, 'deg': 360}",{'all': 10},1677363273,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:16:56
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.21, 'feels_like': 273.69, 'temp_min': 274.84, 'temp_max': 277.01, 'pressure': 1020, 'humidity': 83}",10000,"{'speed': 2.57, 'deg': 360}",{'all': 10},1677363273,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:20:16
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.21, 'feels_like': 273.69, 'temp_min': 274.84, 'temp_max': 277.01, 'pressure': 1020, 'humidity': 83}",10000,"{'speed': 2.57, 'deg': 360}",{'all': 10},1677363273,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:23:37
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.19, 'feels_like': 273.66, 'temp_min': 274.64, 'temp_max': 277.01, 'pressure': 1020, 'humidity': 84}",10000,"{'speed': 2.57, 'deg': 360}",{'all': 10},1677363803,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:26:57
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.19, 'feels_like': 273.66, 'temp_min': 274.64, 'temp_max': 277.01, 'pressure': 1020, 'humidity': 84}",10000,"{'speed': 2.57, 'deg': 360}",{'all': 10},1677363803,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:30:18
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.19, 'feels_like': 273.66, 'temp_min': 274.64, 'temp_max': 277.01, 'pressure': 1020, 'humidity': 84}",10000,"{'speed': 2.57, 'deg': 360}",{'all': 10},1677363803,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:33:38
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.13, 'feels_like': 273.59, 'temp_min': 274.64, 'temp_max': 277.04, 'pressure': 1020, 'humidity': 85}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 9},1677364545,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:36:59
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.13, 'feels_like': 273.59, 'temp_min': 274.64, 'temp_max': 277.04, 'pressure': 1020, 'humidity': 85}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 9},1677364545,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:40:19
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.13, 'feels_like': 273.59, 'temp_min': 274.64, 'temp_max': 277.04, 'pressure': 1020, 'humidity': 85}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 9},1677364545,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:43:40
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.15, 'feels_like': 273.62, 'temp_min': 274.64, 'temp_max': 277.04, 'pressure': 1020, 'humidity': 85}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 9},1677365054,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:47:02
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.15, 'feels_like': 273.62, 'temp_min': 274.64, 'temp_max': 277.04, 'pressure': 1020, 'humidity': 85}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 9},1677365054,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:50:22
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.15, 'feels_like': 273.62, 'temp_min': 274.64, 'temp_max': 277.04, 'pressure': 1020, 'humidity': 85}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 9},1677365054,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:53:43
"{'lon': -0.1257, 'lat': 51.5085}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.14, 'feels_like': 273.61, 'temp_min': 274.64, 'temp_max': 277.04, 'pressure': 1021, 'humidity': 85}",10000,"{'speed': 2.57, 'deg': 10}",{'all': 9},1677365695,"{'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1677308119, 'sunset': 1677346337}",0,2643743,London,200,2023-02-25 22:57:03
